player_id,age,role,matches,runs,batting_average,strike_rate,fifties,hundreds,wickets,economy,catches,fitness_score,raw_score,talent_score,future_potential,auction_value_cr
1,21,Batter,199,5253,42.35,129.77,16,18,2,8.36,14,80,67.51650000000001,31.46,Low,6.18
2,20,Bowler,69,1034,22.04,98.06,5,1,156,5.8,22,80,66.46900000000001,29.48,Low,7.69
3,23,Wicketkeeper,97,4276,29.66,167.0,26,3,1,7.52,95,91,79.78999999999999,54.73,Medium,8.39
4,26,Batter,196,6763,51.09,188.12,34,3,17,7.17,56,88,91.69099999999999,77.28,High,12.93
5,24,Batter,21,4866,58.19,188.97,24,4,12,7.11,56,85,89.1245,72.42,High,11.72
6,29,All-Rounder,63,4245,31.67,156.2,25,1,205,6.54,78,93,95.79099999999998,85.05,Elite,15.77
7,25,Bowler,128,777,15.4,116.27,5,0,275,5.3,8,77,75.0645,45.77,Medium,12.55
8,19,All-Rounder,112,2596,26.65,154.79,23,5,104,6.62,60,100,82.4855,59.83,Medium,10.98
9,32,Bowler,77,285,14.93,98.07,2,1,329,6.33,28,67,72.9695,41.8,Medium,12.11
10,22,Wicketkeeper,33,2385,50.83,110.7,15,13,9,6.25,98,99,79.39399999999999,53.97,Medium,9.47
11,32,All-Rounder,151,1547,42.01,106.87,22,4,246,6.56,24,69,77.9375,51.21,Medium,12.93
12,31,Bowler,126,6,29.08,113.79,2,0,229,7.65,45,69,70.5745,37.26,Low,10.27
13,34,Bowler,49,765,25.25,96.97,4,0,253,5.3,6,63,69.6405,35.49,Low,10.7
14,29,All-Rounder,71,1737,31.02,134.04,7,1,237,5.94,18,94,85.26599999999999,65.1,High,13.15
15,35,Bowler,42,1351,19.51,97.49,2,1,346,4.85,39,84,86.05850000000001,66.61,High,15.03
16,24,All-Rounder,112,4251,41.25,126.29,21,7,80,4.99,18,90,80.54050000000001,56.15,Medium,10.12
17,18,Bowler,160,451,10.14,105.39,0,0,117,7.62,26,82,56.9725,11.48,Low,3.72
18,34,Bowler,81,1370,19.71,96.96,5,1,162,7.14,31,66,61.477,20.02,Low,6.79
19,21,Batter,178,6531,45.63,148.78,13,4,1,7.61,53,83,79.978,55.08,Medium,8.46
20,25,Bowler,58,1098,18.97,91.09,2,1,163,7.5,9,84,61.4905,20.04,Low,5.91
21,35,Batter,22,7428,60.08,187.83,25,6,13,7.94,37,87,91.6645,77.23,High,13.26
22,30,Batter,52,6104,35.06,147.33,39,10,13,8.79,72,74,73.9855,43.72,Medium,7.15
23,24,All-Rounder,65,1739,39.48,132.53,28,5,64,4.2,71,96,83.0215,60.85,High,10.59
24,34,Bowler,24,1040,11.6,79.29,4,0,272,7.45,30,63,63.063500000000005,23.02,Low,8.07
25,25,Batter,168,3671,47.58,160.86,43,11,29,7.04,50,77,78.23500000000001,51.78,Medium,8.9
26,26,Wicketkeeper,43,4457,38.72,165.03,9,0,7,8.48,122,73,79.3345,53.86,Medium,8.59
27,20,Bowler,139,543,12.65,87.45,0,0,194,5.14,33,97,70.7885,37.66,Low,8.46
28,27,Batter,180,7543,43.98,166.44,18,9,3,9.56,80,74,80.86599999999999,56.76,Medium,9.26
29,26,All-Rounder,164,2362,42.94,112.22,25,4,179,5.95,16,72,76.459,48.41,Medium,11.24
30,31,All-Rounder,21,1514,33.34,107.85,13,2,239,5.77,100,73,85.0375,64.67,High,14.06
31,35,Batter,38,3616,63.35,168.37,19,18,1,9.34,80,64,76.8925,49.23,Medium,8.79
32,31,Bowler,20,631,17.29,116.65,0,1,153,6.73,47,63,63.176500000000004,23.24,Low,7.64
33,29,Wicketkeeper,168,3266,52.77,116.57,15,5,6,6.1,144,80,82.52850000000001,59.92,Medium,9.94
34,31,Bowler,78,326,25.75,75.4,0,1,156,4.8,34,71,63.717,24.26,Low,6.79
35,27,Bowler,67,48,23.2,89.92,2,0,347,7.09,27,90,79.324,53.84,Medium,14.97
36,34,Wicketkeeper,183,6392,34.93,101.93,21,5,9,9.85,83,61,63.1225,23.13,Low,4.09
37,21,Wicketkeeper,98,4569,38.09,168.9,12,12,9,6.76,55,93,81.85000000000001,58.63,Medium,9.22
38,18,Bowler,103,883,11.4,103.21,2,1,269,7.39,24,96,73.8075,43.39,Medium,10.18
39,27,Wicketkeeper,93,5296,45.92,138.81,17,13,10,9.76,136,93,83.3195,61.41,High,9.2
40,23,All-Rounder,113,3744,45.84,118.23,11,6,198,6.43,51,94,90.5545,75.13,High,15.37
41,32,Wicketkeeper,182,3750,40.34,155.56,15,2,4,8.06,131,79,79.98599999999999,55.1,Medium,9.08
42,28,Batter,219,4924,55.18,135.72,22,5,0,6.18,70,89,83.65,62.04,High,10.29
43,20,Wicketkeeper,116,6715,30.83,148.74,36,12,3,6.59,138,80,85.85,66.21,High,9.49
44,21,Wicketkeeper,66,3440,49.12,148.71,34,1,8,7.0,65,94,80.5625,56.19,Medium,9.21
45,22,Wicketkeeper,180,6351,54.64,141.68,33,13,8,7.78,70,95,86.176,66.83,High,10.17
46,32,All-Rounder,202,2512,46.0,116.64,29,8,174,6.51,45,74,80.22,55.54,Medium,12.08
47,20,All-Rounder,70,2612,33.4,153.58,7,2,88,4.93,98,84,86.26100000000001,66.99,High,11.24
48,24,Batter,116,6339,44.93,152.61,13,7,26,7.68,12,98,81.4685,57.91,Medium,10.24
49,30,Wicketkeeper,11,4881,33.96,127.3,31,7,7,6.88,105,85,77.595,50.56,Medium,8.08
50,18,Wicketkeeper,96,5312,46.73,158.84,13,0,6,8.37,134,80,85.60900000000001,65.75,High,9.46
51,20,Wicketkeeper,44,5782,30.45,118.21,25,6,7,7.31,147,92,82.0705,59.05,Medium,8.91
52,26,Wicketkeeper,74,2670,39.11,152.43,8,11,3,8.6,149,90,80.3775,55.84,Medium,8.52
53,19,Batter,73,4633,60.18,163.49,25,5,15,8.68,37,94,82.88350000000001,60.59,High,10.24
54,26,All-Rounder,52,3981,40.18,144.88,8,2,129,4.43,13,79,84.258,63.19,High,12.48
55,30,Wicketkeeper,193,3624,27.28,148.34,20,3,4,9.4,126,95,75.553,46.69,Medium,7.56
56,21,Batter,98,7364,47.85,145.94,42,11,0,9.4,72,83,80.124,55.36,Medium,9.5
57,31,All-Rounder,172,4894,36.49,109.18,10,8,216,5.08,78,84,93.032,79.82,High,15.3
58,33,Wicketkeeper,121,6853,33.05,159.62,10,8,7,6.98,109,78,84.56400000000001,63.77,High,9.29
59,30,All-Rounder,17,3524,46.27,110.91,11,5,116,5.36,86,92,87.7255,69.77,High,13.17
60,26,Batter,142,4565,37.57,170.41,41,18,24,6.96,70,90,83.4625,61.69,High,10.25
61,33,Wicketkeeper,212,2141,27.79,115.51,20,9,10,8.33,110,77,64.3355,25.43,Low,4.4
62,34,All-Rounder,118,4555,38.76,121.11,19,4,128,5.01,25,83,82.3745,59.62,Medium,11.56
63,24,All-Rounder,40,4542,38.4,145.73,10,3,105,6.95,45,98,85.9635,66.43,High,11.44
64,34,All-Rounder,35,4910,29.85,113.65,10,4,53,6.83,26,68,66.0025,28.59,Low,5.39
65,19,Batter,151,5393,55.92,128.84,41,4,27,6.05,46,95,85.298,65.16,High,11.56
66,33,Wicketkeeper,97,3510,53.96,117.67,35,3,1,7.6,59,78,71.1385,38.33,Low,8.0
67,19,Bowler,48,1152,28.98,74.26,1,0,242,7.06,43,99,76.42699999999999,48.35,Medium,12.05
68,25,Wicketkeeper,125,5626,33.92,141.2,32,9,9,8.48,128,93,82.41799999999999,59.71,Medium,9.54
69,21,Bowler,170,432,15.29,74.06,1,0,241,4.3,5,93,70.99,38.05,Low,10.33
70,32,Wicketkeeper,84,2267,31.94,149.49,34,2,10,6.93,83,85,73.0295,41.91,Medium,6.5
71,24,Wicketkeeper,39,6461,31.74,110.43,22,4,1,6.24,89,99,80.2585,55.61,Medium,8.46
72,27,Wicketkeeper,41,5839,45.66,148.98,22,15,7,6.32,55,83,81.893,58.71,Medium,10.24
73,28,All-Rounder,16,1874,30.72,140.46,23,9,55,8.0,96,78,71.533,39.08,Low,7.31
74,19,Bowler,130,1062,23.03,115.8,1,1,262,7.26,10,95,77.593,50.56,Medium,13.24
75,29,Wicketkeeper,95,4630,45.1,160.04,26,13,7,7.15,101,94,86.65599999999999,67.74,High,9.21
76,35,Batter,126,3721,44.44,142.63,35,17,26,9.95,79,74,70.74849999999999,37.59,Low,7.66
77,31,Batter,58,7247,45.85,172.95,50,15,24,6.21,44,77,87.34150000000001,69.04,High,11.1
78,22,All-Rounder,122,4360,37.12,101.73,25,9,111,6.84,49,97,79.46549999999999,54.11,Medium,10.42
79,18,Wicketkeeper,33,3840,54.77,163.91,34,3,10,9.33,113,89,84.3875,63.44,High,10.6
80,34,All-Rounder,116,4919,37.06,128.33,19,8,87,5.53,86,76,83.7055,62.15,High,10.06
81,22,Batter,80,6399,45.2,175.14,27,1,9,8.9,72,84,83.749,62.23,High,9.8
82,32,Wicketkeeper,98,4723,41.56,138.04,34,10,3,9.92,80,78,70.52000000000001,37.16,Low,6.78
83,30,Bowler,229,841,10.87,107.24,5,1,198,7.95,46,74,64.06899999999999,24.93,Low,8.23
84,33,Batter,42,7114,63.96,143.24,16,15,3,8.1,68,60,80.742,56.53,Medium,9.78
85,22,Wicketkeeper,232,3264,27.24,154.71,21,10,9,8.77,133,82,74.8865,45.43,Medium,6.59
86,28,Wicketkeeper,91,5997,51.17,102.51,9,7,10,8.74,86,77,73.89150000000001,43.55,Medium,7.73
87,20,Wicketkeeper,35,2823,38.31,148.58,6,1,5,9.18,87,91,72.916,41.7,Medium,7.48
88,29,Wicketkeeper,47,4000,40.93,139.61,16,5,2,6.32,98,89,80.7905,56.62,Medium,9.05
89,25,Wicketkeeper,243,6777,29.29,132.28,21,14,4,8.67,109,79,75.81299999999999,47.19,Medium,6.94
90,35,Bowler,28,904,28.9,119.38,2,1,276,5.0,24,66,79.365,53.92,Medium,13.69
91,30,Wicketkeeper,37,3943,36.44,125.13,23,9,0,9.91,134,82,71.66749999999999,39.33,Low,6.59
92,26,Batter,154,3401,62.32,172.16,28,8,19,9.21,38,90,80.722,56.49,Medium,10.76
93,24,All-Rounder,183,4594,43.02,139.55,9,10,74,7.61,92,81,83.1765,61.14,High,10.62
94,27,Wicketkeeper,18,6747,35.95,109.2,23,10,6,6.7,66,95,78.089,51.5,Medium,7.93
95,35,All-Rounder,145,3555,47.84,149.83,13,7,125,6.99,53,85,86.5065,67.46,High,12.79
96,21,Wicketkeeper,29,3153,47.62,115.79,30,11,1,9.16,51,88,66.8205,30.14,Low,5.29
97,35,Batter,126,6019,55.18,167.06,47,13,26,8.55,57,63,80.08099999999999,55.28,Medium,10.06
98,25,Wicketkeeper,16,6599,34.84,142.71,9,14,4,8.6,64,74,73.0765,42.0,Medium,6.99
99,19,Batter,87,7035,38.48,136.44,44,5,12,7.81,79,93,82.57,59.99,Medium,9.37
100,22,Wicketkeeper,177,2811,50.01,143.1,22,1,5,6.87,106,87,81.1,57.21,Medium,9.35
101,29,Batter,185,6009,51.33,188.45,32,2,12,7.1,25,84,85.9445,66.39,High,10.07
102,20,Bowler,174,1309,21.94,71.07,2,0,132,7.15,18,82,58.42049999999999,14.22,Low,5.23
103,35,Bowler,160,442,26.26,81.65,1,0,170,7.43,14,64,57.1495,11.81,Low,5.96
104,35,All-Rounder,214,2214,27.75,151.99,9,0,141,7.16,40,78,76.01150000000001,47.56,Medium,9.51
105,28,Batter,54,5173,36.57,171.92,43,4,23,6.25,67,94,86.645,67.72,High,10.33
106,29,Batter,125,7127,41.65,163.06,43,10,14,8.57,13,71,74.238,44.2,Medium,7.87
107,33,Wicketkeeper,119,2884,39.71,163.68,9,2,5,8.43,58,64,67.57300000000001,31.57,Low,6.82
108,26,All-Rounder,107,3946,38.26,127.22,24,6,75,7.17,24,90,75.013,45.67,Medium,8.98
109,35,Bowler,120,924,27.76,90.69,3,1,206,6.92,25,73,67.1695,30.8,Low,9.33
110,28,All-Rounder,105,2125,42.17,128.46,7,1,73,5.73,57,95,80.0,55.12,Medium,10.15
111,22,Batter,160,7600,51.85,166.9,36,12,27,8.66,64,81,87.28000000000002,68.92,High,10.44
112,27,All-Rounder,100,1924,39.45,112.76,26,7,107,7.39,54,87,73.527,42.85,Medium,9.24
113,29,Batter,205,5282,52.22,176.51,45,20,19,8.7,13,89,80.3765,55.84,Medium,9.72
114,26,Batter,56,5238,56.08,141.63,31,12,0,6.73,28,88,79.8845,54.9,Medium,10.62
115,30,Batter,46,3251,37.75,157.13,34,14,14,7.36,57,79,73.2465,42.32,Medium,7.15
116,28,Batter,236,3430,39.67,172.81,13,3,8,7.77,64,85,77.4325,50.26,Medium,8.33
117,32,Wicketkeeper,79,3765,47.65,107.97,32,3,4,8.71,125,75,72.1705,40.28,Medium,7.28
118,34,All-Rounder,21,2403,34.88,135.96,5,3,127,7.78,27,84,73.964,43.68,Medium,8.94
119,26,All-Rounder,93,1991,25.19,144.82,10,2,147,6.13,39,86,78.162,51.64,Medium,10.97
120,35,All-Rounder,28,3126,46.54,102.54,5,7,69,7.45,83,73,72.765,41.41,Medium,9.05
121,30,Wicketkeeper,84,2943,37.15,167.63,15,14,5,6.35,63,77,75.4255,46.45,Medium,7.93
122,31,Wicketkeeper,144,2644,36.87,121.72,26,7,5,9.12,59,76,61.667,20.38,Low,3.93
123,21,Bowler,241,715,17.02,117.91,5,0,160,4.41,21,86,71.80250000000001,39.59,Low,9.5
124,23,Bowler,204,1342,11.51,117.56,5,1,218,7.02,42,94,74.87100000000001,45.4,Medium,9.68
125,28,All-Rounder,48,3301,26.71,126.53,14,4,201,4.22,74,72,86.6345,67.7,High,13.77
126,27,Wicketkeeper,125,2308,26.71,158.22,9,2,9,8.38,99,84,71.22200000000001,38.49,Low,7.23
127,35,Batter,125,7683,54.56,142.51,40,17,4,9.83,67,63,76.22049999999999,47.96,Medium,8.07
128,28,Batter,139,4413,36.17,169.53,38,17,16,8.44,56,81,75.3565,46.32,Medium,7.4
129,27,Wicketkeeper,114,4771,45.37,103.67,26,2,5,6.38,136,82,80.4435,55.96,Medium,9.13
130,27,All-Rounder,195,4988,41.41,154.38,9,5,70,6.33,28,81,81.54599999999999,58.05,Medium,10.18
131,27,Wicketkeeper,43,6874,46.27,105.93,40,12,10,9.17,66,91,75.3285,46.27,Medium,7.29
132,34,Batter,175,6468,50.25,121.28,29,6,30,6.86,72,66,78.583,52.44,Medium,9.44
133,25,Bowler,49,158,15.92,109.41,4,0,269,5.35,44,74,75.2235,46.07,Medium,11.17
134,30,Bowler,51,370,26.63,108.55,1,1,111,5.64,48,93,70.6615,37.42,Low,8.28
135,25,Wicketkeeper,166,4334,47.57,154.87,19,7,4,9.86,150,85,83.0195,60.85,High,9.3
136,24,All-Rounder,183,3836,49.61,127.7,14,6,178,6.11,30,86,88.23,70.72,High,15.3
137,22,All-Rounder,23,4126,37.01,122.27,8,8,81,5.14,30,88,78.8955,53.03,Medium,9.44
138,32,Bowler,222,895,11.83,115.53,3,1,338,4.11,8,72,80.2885,55.67,Medium,13.87
139,34,All-Rounder,70,3081,49.86,122.49,5,5,75,7.36,93,70,77.5735,50.52,Medium,10.46
140,22,Bowler,19,587,28.35,93.62,1,1,214,6.46,10,80,68.922,34.13,Low,9.18
141,26,Bowler,223,306,20.98,106.36,4,1,128,7.1,20,79,60.65,18.45,Low,5.94
142,21,Batter,71,6439,54.17,163.6,14,4,26,9.62,78,80,84.309,63.29,High,11.48
143,34,Bowler,193,294,15.83,70.08,2,0,246,5.67,47,81,69.13900000000001,34.54,Low,9.05
144,20,All-Rounder,27,3654,38.6,147.18,21,8,55,5.56,70,81,81.495,57.96,Medium,10.08
145,30,All-Rounder,74,4561,25.41,147.31,16,3,237,6.63,23,94,90.3415,74.72,High,15.11
146,28,Bowler,21,721,20.92,110.68,1,1,278,5.91,16,95,80.09,55.29,Medium,13.63
147,22,Batter,193,6749,36.11,134.11,22,2,10,9.73,75,92,76.2875,48.09,Medium,7.16
